videoID,title
tZE_fQFK8EY,Introduction to Biology: Crash Course Biology #1
LKvjIsyYng8,Can you solve the three gods riddle? - Alex Gendler
p_o4aY7xkXg,Minute Physics: What is Gravity?
3_RhISgoXUs,"Every Force in Nature (Theory of Everything, Part III)"
r7R8ewU1Wqc,This is MIT
qarOQuP7Vzs,The 3 Minute Solution: Creating Short Effective Videos
nAAmieNOhSU,🌿 Inside a Science of Reading Lesson in Under 3 Minutes! 🌿
o62kIFNpb-k,9 of the BEST Educational YouTube Channels Ever!
dR4BEhgrkR8,How to Avoid Clickbait on YouTube with AI Summaries on Android
FM0ap5FWtAI,Long Form Content VS Short Form Content | Everything You Need To Know
ZaAibjxHPJU,The Secret to Viral YouTube Titles (Nobody Talks About This)
ba1YKP28RKY,How Does Science Really Work? The Myth of the Great Experiment: Crash Course Scientific Thinking #3
Y45KrixWRNg,Crash Course Scientific Thinking Preview
NaMcw8_10Yg,What Happens When Science Clashes with the Public?: Crash Course Scientific Thinking #7
PnFwdCGmVG0,Web Search: Crash Course AI #17
pAHQekxr0No,Khan Academy - Challenge: Seasons ids (Helper video)
3k0v5ZvZrVQ,Crash Course Office Hours: World History
Vh4dMC7P2Mw,10 Educational YouTube Channels Every One Should Subscribe To.
PdkwKt1XnA4,How YouTube Generates Those Weird Video IDs
L5TQwQpVgW0,How to give a great science talk | ‘Talking Science’ Course #7
eVtCO84MDj8,Khan Academy and the Effectiveness of Science Videos
IvXZCocyU_M,GPT-4o (Omni) math tutoring demo on Khan Academy
KFzcwWTEDDI,Dividing numbers: intro to long division | 4th grade | Khan Academy
X9ZZ6tcxArI,"The Heart, Part 1 - Under Pressure: Crash Course Anatomy & Physiology #25"
OZG8M_ldA1M,"The Nervous System, Part 2 - Action! Potential!: Crash Course Anatomy & Physiology #9"
I7orwMgTQ5I,Lymphatic System: Crash Course Anatomy & Physiology #44
qG2SwE_6uVM,How to Train a Brain: Crash Course Psychology #11
qPix_X-9t7E,"The Nervous System, Part 1: Crash Course Anatomy & Physiology #8"
YtE0OsRWeYI,Should we get rid of standardized testing? - Arlo Kempf
qD0_yWgifDM,The science of spiciness - Rose Eveleth
lEXBxijQREo,How sugar affects the brain - Nicole Avena
BHY0FxzoKZE,The Brain-Changing Benefits of Exercise | Wendy Suzuki | TED
uFk0mgljtns,How to Make a Kurzgesagt Video in 1200 Hours
dl0-TveDDGA,Our Minds Are Weirder than You Think
vSSkDos2hzo,We Need to Rethink Exercise (Updated Version)
75d_29QWELk,Change Your Life – One Tiny Step at a Time
GEmuEWjHr5c,The Most Persistent Myth
UBVV8pch1dM,The Science of Thinking
pgGrQjYcm5A,Explaining Pi With Pizza
YdOXS_9_P4U,Terence Tao on the cosmic distance ladder
aircAruvnKk,But what is a neural network? | Deep learning chapter 1
kjBOesZCoqc,Essence of linear algebra preview
JJQWtGm3eIs,Math Jokes Explained - Numberphile
AuA2EAgAegE,e (Euler's Number) - Numberphile
Mfk_L4Nx2ZI,Zero Factorial - Numberphile
ETrYE4MdoLQ,The Feigenbaum Constant (4.669)  - Numberphile
l7lP9y7Bb5g,Beautiful Card Trick - Numberphile
d3zTfXvYZ9s,Time Travel in Fiction Rundown
jN-FfJKgis8,What if the Earth were Hollow?
3MqYE2UuN24,Is it Better to Walk or Run in the Rain?
W2Xb2GFK2yc,A Better Way To Picture Atoms
Ywn2Lz5zmYg,The True Science of Parallel Universes
_bf8FMzCG4A,This Is Not A Bug
Sk10Bz_TKPU,The Best Pokémon (According to Science)
nK3w1V4q2c8,What Happens When A Volcano Meets a Glacier?
s9IkBWuT3iE,Why Do All YouTube Videos Look Alike?
Cp5oajtBbtg,This Video Took Us 8 Years To Make
VzDMG7ke69g,Meiosis (Updated)
3jwAGWky98c,Properties of Water
f-ldPgEfAHI,Mitosis: The Amazing Cell Process that Uses Division to Multiply! (Updated)
zrKdz93WlVk,Mitosis vs. Meiosis: Side by Side Comparison
JQByjprj_mA,DNA vs RNA (Updated)
aY8z2qO44WA,Kinematics Part 3: Projectile Motion
hpWuZh6oTew,Kinematics Part 1: Horizontal Motion
KyD8VIK032o,The 10 Things That All Flat Earthers Say
eM5mDnQX0k8,How To Name Ionic Compounds With Transition Metals
dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)
jNQXAC9IVRw,Me at the zoo
aqz-KE-bpKQ,Big Buck Bunny 60fps 4K - Official Blender Foundation Short Film
5MgBikgcWnY,The first 20 hours -- how to learn anything | Josh Kaufman | TEDxCSU
Xc4xYacTu-E,Which Way Is Down?
lG4VkPoG3ko,"The medical test paradox, and redesigning Bayes' rule"
HfACrKJ_Y2w,Calculus 1 - Full College Course
P3GagfbA2vo,Evolution: It's a Thing - Crash Course Biology #20
yWO-cvGETRQ,Why Black Holes Could Delete The Universe – The Information Paradox
