videoID,title,clickbait
U0wTDK0VOeY,,1
kdz6FeQLuHQ,,1
jN7mSXMruEo,,1
y6F6MolfV4Y,,1
bUuGy5agBfg,,1
_ZbUyS2IRMo,,1
ETRpkp03stQ,,1
jfOUVYQnuhw,,1
Aw9M7dKV0oQ,,1
qD6bPNZRRbQ,,1
8Fn_30AD7Pk,,1
fSwpe8r50_o,,1
d6tgmGqXysM,,1
qEV9qoup2mQ,,1
9LMr5XTgeyI,,1
xJmVuW8atO8,,1
_8xhdL8BPvU,,1
-FBwZtuJtMw,,1
Kn56bMZ9OE8,,1
_8W2LIfl5RE,,1
cUkoqppoFr8,,1
wcp1BfPUeOc,,1
YTHZLKFblKo,,1
jPhJbKBuNnA,,1
7qNOtgrIjO4,,1
bu5-VERN3XY,,1
6o38C-ultvw,,1
PSrO55KS6VY,,1
2nQ-rijlX3o,,1
voYdl7IFZsM,,1
AnHF0R8qd3M,,1
R9OHn5ZF4Uo,,1
thOifuHs6eY,,1
wfYbgdo8e-8,,1
O2hO4_UEe-4,,1
tk862BbjWx4,,1
JEYh5WACqEk,,1
wOmjnioNulo,,1
hsWr_JWTZss,,1
kh88fVP2FWQ,,1
J1Yv24cM2os,,1
agZ0xISi40E,,1
r9rGX91rq5I,,1
rNu8XDBSn10,,1
jNgP6d9HraI,,1
ASSOQDQvVLU,,1
qMkYlIA7mgw,,1
DbKNlFcg02c,,1
kF8I_r9XT7A,,1
OPHRIjI3hXs,,1
SgZ1f4ACZBQ,,1
LruaD7XhQ50,,1
3uBcq1x7P34,,1
y5UT04p5f7U,,1
SumDHcnCRuU,,1
Z_2gbGXzFbs,,1
xX96xng7sAE,,1
84aWtseb2-4,,1
4AivEQmfPpk,,1
naDCCW5TSpU,,1
LrObZ_HZZUc,,1
z1ROpIKZe-c,,1
KIbkoop4AYE,,1
S92fTz_-kQE,,1
dDYFiq1l5Dg,,1
boezS4C_MFc,,1
BUY6HGqYweQ,,1
qC5h9zcHmPA,,1
rE3j_RHkqJc,,1
wvWpdrfoEv0,,1
ewBJ8uw0si4,,1
ZY1niNVxYg0,,1
C3cqMqUV4hg,,1
IxRMuNJdpFo,,1
QH5LBi8Pwq0,,1
Jntxq5QxR-0,,1
xXMURkp8mCo,,1
xqd3ZbCJ2so,,1
h27CM99STLg,,1
ayn5H9APWlA,,1
cyTlPkNOaKE,,1
hmr04GQ54WU,,1
rOpJnOe7Yoo,,1
astdnJOpo4E,,1
K61GMUglv-8,,1
npYNZ32Zj7A,,1
Pc-OIj2_wXQ,,1
lUOtY1N-SFo,,1
kxaBJy_kx7I,,1
lj8KLV2gxjs,,1
vg39MlDWZ0k,,1
GkYMO_P84HY,,1
1MIrPHeZ5g0,,1
2NuS0GmWZQM,,1
dFLnbA6vGBQ,,1
C25qzDhGLx8,,1
kF7htOq0B3k,,1
06Amyyn283I,,1
MfBryHjfqI0,,1
-uJjmXcVZLo,,1
5LI2nYhGhYM,,1
OX-Ra4nrVj0,,1
5z0wUA4q1yA,,1
OwgI02niKes,,1
IiQnf0DPiTs,,1
p_Fcezk3Tk0,,1
KkG45JlrmH8,,1
xreGfMjYJHo,,1
TX9qSaGXFyg,,1
SqB0lUcqFbA,,1
O8gCqSmtkrM,,1
X6NCRYvNKFw,,1
iU_iWa9LL_s,,1
3IJ0Lk2-w_I,,1
LuVpwB1s8iU,,1
OFvXuyITwBI,,1
G1rXhpkgbSQ,,1
gzxW3B3_Pak,,1
8aanIIDgm5Q,,1
-5zGuFPxW88,,1
F34bR9CqGJ8,,1
bY4MTjVEtjE,,1
Vpdxfy1nH7M,,1
bsqmUfNPygY,,1
G5s4-Kak49o,,1
zu0aY3UNhvU,,1
qE4QLkIPjrs,,1
P5EeDogskT4,,1
wu5_6p3U3To,,1
QqusMlyG4dI,,1
EGvxJ5qWYH0,,1
QgrVVyIzecM,,1
YUOSoCw5mRQ,,1
VfpHTJsn9I4,,1
T2lOiHtygVM,,1
8eLu6_9HoFQ,,1
1TDIAObsqcs,,1
Ifj_okRTxQI,,1
vLyIPsC2p9Y,,1
FGHNp-mCWPY,,1
kfyCNKqDamw,,1
UeCdBVHYa_8,,1
Ewo8tt6bgZU,,1
YznFvx5DFUw,,1
d8bZCve_ZKA,,1
dN00ykh1kBo,,1
crlL4kpsBR8,,1
-ttR7bo3OaA,,1
lwZts7Epq20,,1
xTD2Xcxr7SI,,1
dKx1wnXClcI,,1
4hZxo96x48A,,1
S-3wEC6Fj_8,,1
Ylt5yTHpr0w,,1
4JHifOjClN0,,1
iglCkTVGiYY,,1
ohcF_cvk1Ec,,1
xLWUGumz1dI,,1
VmIV3x9hq2g,,1
PrSowBhVRaM,,1
OfpwqWQ4WNI,,1
dNCTTmky8PI,,1
dCMuOmi2zTs,,1
Om6lymOMsCg,,1
OVHbd_FfjiQ,,1
vLjnpnS0MDY,,1
HVaIQskuASk,,1
nu-fYs42yy0,,1
U25uRT0QaVI,,1
0UG6DLh8ltU,,1
lKNB3ZeTYiI,,1
s7j3GttwYwI,,1
DWReago8zrM,,1
bpWtZKVahEE,,1
n94-_yE4IeU,,1
EqwasBTzZS8,,1
Wif1EAgEQKI,,1
M-K7mxdN62M,,1
TYPFenJQciw,,1
FfWtIaDtfYk,,1
XFqn3uy238E,,1
0IhmkF50VgE,,1
hr03xF08qoU,,1
LxgMdjyw8uw,,1
lheapd7bgLA,,1
1x-i9z617z4,,1
aeWyp2vXxqA,,1
HpcTJW4ur54,,1
Qsbe1pD8ocE,,1
q4DF3j4saCE,,1
Us2Z-WC9rao,,1
fXb02MQ78yQ,,1
fMJqwD7_-NU,,1
I9hJ_Rux9y0,,1
W93XyXHI8Nw,,1
4u5I8GYB79Y,,1
yiw6_JakZFc,,1
xSnrQBfBCzY,,1
CFLR9HiEBa4,,1
Yjznza9B3rA,,1
w5qc7dlOcPk,,1
kjiSWpuPkBQ,,1
irl1-GOTL6M,,1
2deho4ifF4k,,1
i8NETqtGHms,,1
INUHCQST7CU,,1
OEV8gMkCHXQ,,1
v50KbIVU8UI,,1
ywlr8JwaZPM,,1
8GrSM_ulMic,,1
Jeb58tRquXk,,1
iBfJsPkN-_o,,1
XSkRGMeqh2o,,1
4iluOmq1DYY,,1
E5p6mClrjFY,,1
QgZcQIp4CL0,,1
c3LhK2SAusk,,1
6CJZ5BwpuRk,,1
-BBe7NNIqGo,,1
BqLH-nTZEOc,,1
qGtYn7DCIYo,,1
Mwt35SEeR9w,,1
MToTEqoVv3I,,1
aF90QBO-oF0,,1
akoK3U2ZNXM,,1
K_wmKHEcVH8,,1
c7Csi3QanGc,,1
LEENEFaVUzU,,1
75d_29QWELk,,1
wjny4u5THpU,,1
sP0cwLuEwsw,,1
tCL14vZjf4E,,1
XEspOD1NHr0,,1
ibEN9FTLdkI,,1
aUKpY0o5tMo,,1
2fX1qYMcfgs,,1
he6xyl_MHXY,,1
WlFVPnGEb8o,,1
VRo-lnBKhLo,,1
2AecAXinars,,1
V-vFtiDYiIw,,1
N-z9PidYH4E,,1
6xFUNFG-UKE,,1
X1u-9YqrIJc,,1
tRaq4aYPzCc,,1
ws694xrKopA,,1
WTOm65IZneg,,1
rwusTUjqC0w,,1
EBRTGg0fVp8,,1
BCwDB8N1syc,,1
oJIvn18SSfc,,1
k2C4lbbIH0c,,1
igj0uCnbXK0,,1
vn6c1jsYQmw,,1
jfjs6wKhWfc,,1
LRddjo2P0mM,,1
WLTG63pJC-A,,1
R4Vsvh5Gl5c,,1
xeMRV4d1CD0,,1
YtCeoCQ1ZFk,,1
7eQg2N1uoaY,,1
Q72rVuT0tc8,,1
qq9cvBZ4j_s,,1
eaXk97ujbPQ,,1
9RHGLZLUuwc,,1
Cp5WWtMoeKg,,1
bqtqltqcQhw,,1
M3iI2l0ltbE,,1
r_It_X7v-1E,,1
dY6jR52fFWo,,1
9cT0jXI7l4E,,1
pUba126uzvU,,1
dSJZ7MtKe1w,,1
8jeLCQ62vFk,,1
TBOxrHdTKE0,,1
MPoGGXeY7Nk,,1
orNj7TZDqOo,,1
UDLpihQUI64,,1
wHW2yULrdD8,,1
Vlx8hmuS9gI,,1
XaH-vnxdL84,,1
znMwL_LGMpM,,1
0RKpf3rK57I,,1
EYa6wJZMouU,,1
0CTp1a-aCUM,,1
lTPPipSAenw,,1
FM7Z-Xq8Drc,,1
48h57PspBec,,1
bS3LPDkgCrU,,1
TM3pwAp7dDA,,1
1UTjWy-vnOo,,1
LtO4lDIq1uw,,1
4QOcCGI6xOU,,1
--GB9qyZJqg,,1
cWpFZbjtSQg,,1
7axImc1sxa0,,1
lctXaT9pxA0,,1
DxfEbulyFcY,,1
LoQu3XXIayc,,1
adY-S8AH_Jc,,1
DrqdHVeBkp4,,1
qczNxoG8s6o,,1
GFXGwko225k,,1
LEGCHnoEsLM,,1
aZz-9--YS74,,1
v0VjvIeZuDM,,1
IZyz9Nsaio0,,1
sgfaFdoveig,,1
UxdclUq10JA,,1
Z7iBFklVU_I,,1
cyFL7KJGcC0,,1
WEkgE-wEv9U,,1
hCijBGQcH80,,1
g1IumfrTWLI,,1
mLvVpFOKV0k,,1
9txc8CEzvgE,,1
BGQQf4ztMAA,,1
aF_H_kEF2x4,,1
-VFQCscChW8,,1
dPNIzxsujlg,,1
pWdDNoazPUk,,1
4FPD2K9-R88,,1
6_wbhXR8RP4,,1
gHoqpGgYNMA,,1
U4ogK0MIzqk,,1
X-iSQQgOd1A,,1
vTMEdHcKgM4,,1
obgc8ypEueY,,1
kzwT3wQWAHE,,1
H4q3iiAjKcI,,1
yqycDO3hR1Y,,1
mqdemfndIo0,,1
grryGeuNzEA,,1
K93zcgFsynk,,1
w0QG2_31ot0,,1
TpZcGhYp4rw,,1
kcfRe15I47I,,1
zMob4eflmpM,,1
zVVI4zPGInM,,1
t8e9jG7hM8Y,,1
BHMF-FlkqPw,,1
nlQ0Q_BV4Kw,,1
jRu_DnX6cDk,,1
Pj-h6MEgE7I,,1
7OPg-ksxZ4Y,,1
l4w6808wJcU,,1
ua4QMFQATco,,1
KRvv0QdruMQ,,1
xAUJYP8tnRE,,1
F1Hq8eVOMHs,,1
LmpuerlbJu0,,1
Nv4Nk4AAgk8,,1
xaQJbozY_Is,,1
0FRVx_c9T0c,,1
1-NxodiGPCU,,1
lXfEK8G8CUI,,1
tGX34631pdk,,1
QaoFh1DH51U,,1
nWHZG1wb1ng,,1
ax7jQReXcwM,,1
e6f3ddP1ZcA,,1
9LaovwC_s48,,1
ieZSPMIF8Ew,,1
R7gMMSRdbbM,,1
_R3GDQJCCT4,,1
3xUHEblbT3c,,1
W7nopbPhOWw,,1
3UpSLmuGcNs,,1
QXxNlpjnulI,,1
H1AN3hUXQrw,,1
2eiLH-ox3Eo,,1
TO1x7Ku91HA,,1
dRIkWHo1SJY,,1
3O-Sl-wRzR0,,1
XNWag4AUBpE,,1
0mctaiebrB8,,1
eHK5LBMNiU0,,1
2D_Abyp8K6w,,1
sZs4NDC4yrI,,1
2tGlaSFyZPw,,1
OPqzWGdAe_U,,1
R4uGA5jBcFY,,1
7YExgVdtFZ8,,1
S9R2BZ-eGYo,,1
0FH9cgRhQ-k,,1
G-WO-z-QuWI,,1
dFCbJmgeHmA,,1
CWu29PRCUvQ,,1
JXeJANDKwDc,,1
n3Xv_g3g-mA,,1
uzkD5SeuwzM,,1
QqsLTNkzvaY,,1
EhAemz1v7dQ,,1
VB_GWz25B3Q,,1
Jzfpyo-q-RM,,1
qEfPBt9dU60,,1
curebLtqdfY,,1
hXLqQkv3zhU,,1
oqSYljRYDEM,,1
GsP27D9x5CE,,1
TJ2ifmkGGus,,1
Wmqsy-L1E6M,,1
YLt73w6criQ,,1
JOemfjnOGDQ,,1
uZ6MWoOb6Lg,,1
KcwpY5W7S1s,,1
gTno-x16v8I,,1
IeMG2JS1iRI,,1
OuNOeq0rzhM,,1
ONHuvObfAMs,,1
tUyT1SywtHI,,1
1MuPBLOrwHs,,1
XuKJNzLMpWk,,1
GnliNTJ42cs,,1
gQiDB6RjBGY,,1
4b33NTAuF5E,,1
gLZJlf5rHVs,,1
